title,artist,lyrics,genre
i want a new drug,huey lewis & the news, power love curious thing make one man weep make another man sing change hawk little white dove feeling thats power love tougher diamonds rich like cream stronger harder bad girls dream make bad one good make wrong one right power love keeps home night need money take fame need credit card ride train strong sudden cruel sometimes might save life thats power love thats power love first time feel it might make sad next time feel might make mad glad baby found thats power makes world goround take money take fame need credit card ride train strong sudden cruel sometimes might save life say love fair yeah care know gets hold little help feel power love feel power love feel hmmm take money take fame need credit card ride train tougher diamonds stronger steel feel nothin till feel feel power power love thats power thats power love feel power love feel power love feel power love ,rock
when youre looking like that,westlife,5 foot 10 catsuit bambi eyes everybodys whos staring believe girl mine know wrong left life pity say never miss water gone guess failed love taking tonight supposed leave looking like cant believe gave away cant take back wanna get lost wanna live life without supposed leave looking like dressed glamour rock roll wanna squeeze real tight get place could take control reach forever week ago lied next ironic lose see failed love taking tonight supposed leave looking like cant believe gave away cant take back wanna get lost wanna live life supposed leave looking like wanna forget even wanna try supposed walk looking like supposed leave cant believe gave away cant take back wanna get lost wanna live life supposed leave looking like supposed leave looking like cant believe gave away cant take back wanna get lost wanna live life supposed leave looking like ,pop
i will believe it,cascada,boy everyone tell need hide friends sad true got self blame never understand try talk believe see eyes lies believe receive love makes feel alive believe see eyes lies believe feel love realize good bye lets face boy meant understand try talk believe see eyes lies believe receive love makes feel alive believe see eyes lies believe feel love realize good bye good bye good bye ,pop
editions of you,roxy music,well im looking old picture frame waiting perfect view hope something special step life another fine edition pinup done shades blue sometimes find yearning quiet life country air joys badgers compensate twice price another night boys oh yeah boys boys boys say loves gamble hard win easy lose sun shines better make hay life table fate wheel let chips fall may modern times modern way drifting past lorelei heard slinky sirens wail whooo look sailor hear croon never oh crazy music drives insane way love leave me who knows tomorrow might bring learn mistakes advice stay cool still main rule play fool much cheesecake soon old moneys better new mention latest tribune let happen ,rock
larger than life,backstreet boys,may run hide screaming name alright let tell prices fame alright time spent flashes light people cant see cant see loves affecting reality every time were down make right makes larger life looking crowd see body sway come wishing could thank different way come on cause time spent keeps us alive people cant see cant see loves affecting reality every time were down make right makes larger life time spent keeps us alive people cant see cant see loves affecting reality every time were down make right makes larger life yeah every time yeah make right yeah makes larger life ,pop
hollowedout,camber,takes underneath weight master drown underneath sea spells disaster underneath sea alls lost found swallowed whole whats way ever know much weigh hollowedout broken feeling lost control everything gray dark cloud hovers overhead constant companion wrapped dark shroud lie alone bed bottomless canyon lie alone bed alls lost found swallowed whole whats way ever know much weigh hollowedout broken feeling lost control tired conscious sleep lethargic low uninspired sinking ever deep wallow wet cement im mired crush underneath all pull weight squeezes ,rock
prod,mudvayne,emotions inside us troubling hatred inside us escalating sickness inside us keeps us weak masses inside us suffering bleeding calling inside us sick greed voices calling us deafening were listening cannot receive obvious line cattle cut necks swat flies omit disgust leaders inside us posturing pollution inside us suffocating me science inside us menacing thats inside us dying end coming cannot receive obvious line cattle cut necks drain us life cleanse mess wash inside wash inside were killing killers goddamn fucked circumstance late save us ourselves callous minds trust confidence late give damn late save us ourselves late make go away late beg pardons mother late give damn well sit wait wait wait coming end wait coming killing ending plight man deserving mercy expelling gods hand okay ending pain emotion hatred sickness calling ,metal
unashamed,whitney houston,changed mind changed faith every time stop light signaled time made mistakes think would today live life without regrets see see see get im chorus: unashamed life lead unashamed strength knees choices ive made love ive saved things ive done belief one unashamed words friends know make mistakes make amends follow instincts star sleeve wear heart unashamed adding life totals dreams im counting blessings gifts received still theres always someone something overcome took life understand am unashamed chorus wanna know goes wanna control feel wanna stay life listen here listen good got get it got get it got get right unashamed chorus ,rnb
there are already roses,hot water music,so guess now already cool nothing like earlier today thought things said got carried away return weekend like this fucked holiday im feeling confused im feeling mislead like im fool say now already roses grave ive never counted road quite like this solid thing today cause im holding on hardly awake mixed everything say now already roses grave ,punk
no ordinary love,tobymac,momma never said would like never knew bliss existed maybe indescribable love liable get twisted never told tried little young floated right never dreamed love fulfilling simply killing spilling goes aint ordinary love gonna tell everyone sun refuse believe were dying breed children peace hope harmony ordinary folks extraordinary love something something fall short cant see untrained eye take little time sure find complicate something basic taste gonna chase like goes yo go open gates let flow loves gonna take us higher aint ordinary love extraordinary love ,rap
no excuses,air france,excuses left waiting fail quite yet ,electronic
we dont need another hero ,tina turner, ruins wreckage cant make mistake time children last generation ones left behind wonder ever gonna change living fear till nothing else remains need another hero need know way home want life beyond thunderdome looking something rely theres gotta something better love compassion day coming else castles built air wonder ever gonna change living fear till nothing else remains children say need another hero need know way home want life beyond thunderdome lives leave mark story shine like light end dark give nothing need another hero need know way home want life beyond thunderdome ,pop
trusty chords,hot water music,youll get right sometime will tell everyday you need latch anything end back little limbo scene repetitious exhausting might need therapy; anything keep check day think lover already steady shaking might need sedative hate taste medicine you need let go pills shaking hand make feel defeated like im able let go away hate place love chords an empty fate means even score pain morning filled head jameson means im dead cant seem get away theres thing escape even sedaives always state clutching limbo scene never changing anything stop shaking constantly repeated days ,rock
superhuman,cock robin,lover someday discover could lose wed break rules lover suffer wanna mother shame loves fair game hours nearing end one superpower superhuman could never want feel way remember lover leave im sober moment pass us become wise much surprise begin long lost friend lets start tomorrow lover fable together might able love like know im right lover ,pop
frozen roads,brett anderson,snow february falls painting winter hollow fields empty sigh hills like sorrow hills like sorrow sun rise again moon fall sun rise again moon fall moon fall found answer sitting there worth money tangle angel hair lips like honey born muddled meant born muddled meant meant sun rise again moon fall sun rise again moon fall moon fall snow february falls painting winter colours landscape empty sigh hills like sorrow endless rage frozen roads frozen roads ,rock
the arrival of satans empire,dark funeral, unholy war satans demons smeared blood feathers fall angel wings sky father satan gather legions time claim throne arrival dominion long gone gather legions time fight lord hail satan scream masses smeared angels blood lords war wings twelve open gates fly high canopy; bring head god hell lord unholy father wish command cut liar throat; christian blood fall ground demon legions fly gates darkened sky held high spears evil run angels flesh scream pain see kingdom fall angel tears fall ground satan reign lords war wings twelve open gates fly high canopy; bring head god hell lord unholy father wish command cut liar throat; christian blood fall ground ,rock
astral eyes,theory in practice,virutal worlds ive placed mind dreaming reality dimensions entwined mind travelling left body blind computerised journey search find carnally lifeless mind alert searching find tool mind meeting resistance im numb pain determined travel domain strength resistance vain electric waves injected brain worlds artificial realities seen astral eyes behold creation completely computerised successfully entered core system feeling strange fixation watch paralysed carnally lifeless mind fixed divided beings dormant states electric shockwaves body spasms deep hypnosis ending voyaging circuits worlds artificial realities seen astral eyes behold creation completely computerised overwhelming fantasies filling senses imprisoned two dimensions remain paralysed ,metal
intro,40 grit, yeah pimps hoes down yeah hustlas playas gangstas gangstas yeah fa shiggedel shiggedy uh click shit it check raised heart ghetto dipping dodging metro pitching coke thats use pedal heavy metal jjack trays pimp thats hustler many ways acting bad traffic hustler package serving chacha yell tragic magic plastic baggage jelly jars microwaves got it backwoods purple hayes mess around side town get clowned john jane doe lost found everybody know young players business riches chickens pimp lickeness lipi folks digging devon pimpy gear max queezthis gorilla scarp down conscience occupation cant generous fellas bossing dipping pander flossing matter much costing often cause pimps playas hustlas gangstas walk walk talk talk get scrilla pimp hustle heart money muscle make sure lips rumble like abcs spit even spot map 40 dead nigga shitted bridges got house thats sold full bitches proudest old son sick wid know im coming cause walk limp step ladder like playa im pimping never gabbles hoe come navi cars home theres limit could rock prada suit feel know im bout buy bentley minute fresh showroom floor spend hi double l side 1324 magazine resigned 1970 oldsmobile cutlass drive colored tent paint inside hiding behind cloud smoke waving gun girl thats 40 factors one playas got paper keegles always see casino bossing smabbing surrounded whole bunch people placing bet sitting gambling table like veterans talking fans drinking purken playing roulette hold up sweet heart im done know im yay game come im og like candle light grip im company sheezy magic mike im one named burn sparkies back days everybody happy cabinet bags know know drought real brothers like go somebody tell ,rock
i need a mother,eels,need mother im sorry true need lover someone like daddy long time need little mothering need mother im sorry true undercover way always said something know begin taking everything give aint way live need mother im sorry thats need mother really nothing new little help sometimes thats daddy long time need little help know need mother im sorry true ,rock
harajuku girls,gwen stefani,wa mono theres me theres pedestrian paradise catwalk got claws subculture kaleidoscope fashion prowl streets harajuku super lovers tell got yoji yamamoto im hanging locals catwalk got claws fashion knowitalls underground malls world harajuku putting show dress clothes wild hair color cell phones accessories dead harajuku girls got wicked style like way are biggest fan harajuku girls got wicked style like way are biggest fan harajuku girls im looking girls original girls got look makes stand harajuku girls im looking girls mix match girls dress fly parade around im fascinated japanese fashion scene american girl tokyo streets boyfriend bought hysteric glamour shirt theyre hard find states got feeling couture whats got on comme des garcons vivienne westwood cant go wrong mixed second hand clothes flipped landscape nigo made bathing ape got expensive taste guess better save harajuku girls got wicked style like way are biggest fan work it express it live it command style create it design let see work create it design let see work bring style color around world bring style color around world looking distinctive like dna like nothing ive ever seen usa underground culture visual grammar language clothing something encounter pingpong match eastern western see inspiration latest collection wait til get little hands lamb cause means streets harajuku catwalk thats drop cho saikou harajuku girls thats drop thats drop cho saikou harajuku girls thats drop thats drop style detached content fatal attraction cuteness style style fashion fashion girl got style ,pop
xxx,nasty savage, take trip lovers lane take trip time play adult entertainment must age come get wild climb cage xxx triple x feel like spiked heel crack whip brings great thrills soars heights loves delights foreplay gone seduction ultimate pro puts show tied moleste mind exciting herself could cried know loves wild xxx pants took trip lovers lane gone wont cinema fantasies night clubs shows women never know xxx triple x xxx xxx ,blues
you are the one,take that,hurt mind hurt soul never believing im saying ill hunt down ill make mine game ive started playing know going try everyway showing one one one one one one need understand realise scene im creating compromise liberties im taking believe want together believe dream forever one one one one one one need ,pop
show me what you got,blessed by a broken heart,bow god wold false prophets sell souls silver gold rest idols fall ground try stop try stop take best shot show got take best shot got im going afraid tonight im gonna run away im going afraid tonight im ready show got think tough take best shot got come on come god us us ,metal
just abuse me,air traffic,never knew im haunted past long last thought loved me say love me lifes shadow cast dreams come round threes always im independent im tied lied me id die cant read mind im lost without empty feeling deep inside want run hide ill let use abuse girl want mine dreams come round threes always im independent im tied lied me id die cant read mind dreams come round threes always im independent im tied lied me id die cant read mind ,rock
chapter,psapp,give back album shapes change though were always season bleeds season somewhere slip way way would without waste time took make chapter want whole book whole book ones going anywhere did wed tear keep rolling ,rock
avalanche,matthew good,side angel side devil never turn back never turn back me side heaven side destruction side new colour paint world never turn back never turn back again side heaven careful careful careful careful world drops world drops careful careful breathe breathe aint weird makes weapon give give aint weird makes weapon never turn back never turn back careful careful side heaven side heaven side heaven ,rock
set apart this dream,flyleaf,close eyes little girl princess world twirling twirly dress loveliest far rest build castles skies stars reflecting eyes angels sing silver clouds one cries screams shouts oh set apart dream oh set apart dream set apart dream close eyes pretty girl cause easier brace set thoughts world far cry joy oh set apart dream oh set apart dream set apart dream oh lovely beautiful precious priceless much know heart purest gold pure clean white snow clothed splendor oh beauty me oh set apart dream oh set apart dream set apart dream ,rock
swallow the knife ,story of the year,open wounds bleed veins run dry take thorn tear side agitated fault line still agreed disagree connected heart tonight well set free swallow knife carve way pride hands tied problems lie within pray night start even write pretensions disappear impulses bite ankles fear swallow knife carve way pride hands tied problems lie within pray night start hands tied problems lie within pray night start words spoken words broken lets make night best mistake lets take time wipe blood away hands tied world caving hands tied problems lie within pray night start hands tied problems lie within words spoken words broken broken ,rock
heiliges herz ,samsas traum,nur ich und du sind hier wir sehn dem leuchten zu ruhigen abendhimmel steht ein brennender planet ich wunschte der moment verstreicht niemals weil nichts der warme deiner liebe gleicht selbst zwischen tausend sonnen erstrahlt dein herz hellsten ein schein der mich auf allen wegen fuhrt die netze sind gesponnen mir kann nichts mehr passieren denn deine hand hat meine haut beruhrt der seele nah dem korper fern auf einem abgelegnen stern betrachten wir den feuerball und schleudern tranen das du siehst mich sehnsucht durchdringt den abschied mir spielt ein lied das nie verklingt: seit du als wind jedes offne fenster wehst seit du als baum jedem wald der erde stehst seit du als fluss jedes stille wasser fliesst und dich als regen uber jedem land ergiesst seit du dich als das lacheln hinter meinem spiegel zeigst mit mir traumen weit hinauf uber die wolken steigst seit mir das leben diesen einen anblick bot: seitdem verlor ich alles auch die angst vor meinem tod ,rock
mayday,natural elements, whoever front line gettin struck first mercinaries fuck turf every verse varied bust first mayday natural elements controllin ship rollin spliff probably put soul twist remain bonin bitch got bucknaked posin flicks actin like never known shit look shoulder see enemy lookin physically strong mentally shooken penetentiary bookins shit happens get orders nigga charlemagne ship captain sound like bitch yappin shit natural us like blowin endo window back bus move back bust rapid fire actin flyer familys black attire mad desire caught line duty mind shoot every soldier kind sollutes im reclinin lucy niggas smoke filter holdin frown picture smell smoke walk past saw blasts known drama warpath mayday mayday raise white flags time payday payday like that shit world wide north south east west put shield lets see whos best repeat 1x feel burnin emission squirm submission terms conditions yall confirm suspicions yall bitches resemble men like female tennis players wimbledon tremblin shook like ricter voice raise waves make yall change ways like crooks turnin muslim blast shots burnin bosom like bitch cramps got lucky people told switch camps get damp plenty led im like beast many heads sort like predators dreads got arms dr octavious rock whole block radius bomb bleed nitrogliceren slice palm gone long rap biz wet domes john baptist gat spits aint till last mans limbs twisted like doin yoga fact pistols longer jokers ignite mags leave toe wearin white tag so yall niggas better raise white flag swear theres war air new york streets talk beef swollen melon humble loaded weapons nowhere run mega high jet sky droppin bombs prepare crumble rock on beware jungle anacondas puff much cause enemy smells marijuana blastin every object combat honor yo remember agenda plan action retreat surrender keep cannons blastin blastin heat till member turns hasbeens soldiers bangin whos clickll get done crew taste victory tip tongue always prepared physically take clip gun put in cause many niggasll run said win bullets ya flesh cave chest pullin breath im claimin death shouldntve stepped war paint chest fatigue green black heat reacts make bleed like hemophiliacs see strapped heavily armed repetitively releasin caps till enemys gone definitely people pack metal me let legend born declare war on ,rap
masonic,callisto,secrets revealed masonic legacy brainchild chosen be veiled white revelation lucifugous light knowledge proof swimming deep let down try breathing water mortal man ,metal
its only make believe,conway twitty,people see us everywhere think really care cant deceive know make believe one prayer day care hopes dreams come true one one ever know much love prayer day care make believe hopes dreams come true life give heart wedding ring everything heart cant control lure soul prayer day care make believe one prayer day care hopes dreams come true one one ever know much love prayers hopes schemes every dream make believe ,country
capital g,nine inch nails,pushed button elected office pushed button dropped bomb pushed button could watch television motherfuckers last long im sick hearing nots personal accountability biggest problem way things let less ill keeping well use stand something im hands knees turning god war signs name capital g give shit temperature guatemala really see fuss aint gonna worry future generations im sure somebodys gonna figure try tell power corrupt person enough know like angry cause wish position nod head cause know im rightalright well use stand something forgot could theres lot inside maybe afraid see well use stand something well im hands knees turning god war signs name capital g ,electronic
mary poppins y el deshollinador,fabiana cantilo,cuento alas mar si encuentro ser humano pase buscar siempre tiemblo vuelvo temblar mires toques si pongo gritar bien salgo bailar medio coches oh no sueno muero odio dicen hacer convirtio super star telefono llamar noche vino doctor enfermera mary popins deshollinador cuerpo fusil siempre punto estallar no sueno muero odio dicen hacer quiero ver sol quiero ver sol quiero hacerlo hagas dano des amor menos hoy quiero hacerlo cuento alas mar si encuentro ser humano pase buscar puedo verme llorar noche hace tarde espero bar ,latin
morning glory,oasis,dreams made chained mirror razor blade todays day world see another sunny afternoon walking sound favorite tune tomorrow never knows know soon need little time wake need little time wake wake need little time wake need little time rest mind know guess might well whats story morning glory well need little time wake wake well whats story morning glory well need little time wake wake dreams made chained mirror razor blade todays day world see another sunny afternoon yeah im walking sound favorite tune tomorrow know know soon need little time wake need little time wake need little time wake need little time rest mind know guess might well whats story morning glory well need little time wake up wake well whats story morning glory well need little time wake up wake well whats story morning glory well need little time wake up wake well whats story morning glory well ,rock
send in the boys,milburn,cellar knife pointing throat let go oh no ler go kicked screamed someone heard walls next door whats crack whats score next door neighbour gave call one answered boys coming boys coming theyll take holiday maybe seaside maybe theyll give away theyll drop say goodbye looking pretty dangerous looking pretty dangerous tonight nobody knows quite next send boys boys coming coppers came heavy handed closed street demanded us stay home today oh must stay home today calm down reassure leave girl stupid hold hands well get this yeah well get boys coming boys coming theyll take holiday maybe seaside maybe theyll give away theyll drop say goodbye looking pretty dangerous looking pretty dangerous tonight nobody knows quite next send boys boys coming ,rock
up up & away,kid cudi,sun come ill say morning brush teeth find clip lookin since last night feel caught bud flow round bedroom turn around see mirror guess im cool sappy thoughts head im feeling like im peter pan minus tights first happy see far ive come place think dream imaginations perfectly peace move along bit higher ill away away cause gon judge anyway whatever ill away away cause end theyll judge whatever learn see dreams made im cooler could take care mom little niece serious sing along lil mama aint gotta worry bout drama ill provide friends fam fans cleveland city grinding man stay flow kids hope never let motherfucka break dogg gives fuck nigga like steeds tell em buzz nutz care people say dude u take clothes and day aint gotta wait one wanna fly could fly freedom hey ill away away cause gon judge anyway whatever ill away away cause end theyll judge whatever wake wake wake wake wake wake wake wake yeah wake wake wake wake wake wake wake wake wake wake wake wake wake wake wake wake wake wake wake wake ill away away cause gon judge anyway whatever ill away away cause end theyll judge whatever ill away away cause gon judge anyway whatever ill away away cause end theyll judge whatever whatever whatever whatever whatever end never end new challenge awaits test man could prepared for new hell must conquer destroy new level growth must confront himself machine ghost within journey man moon ,rap
am i going insane ,black sabbath,everybodys looking me feeling paranoid inside step outside feel free think ill find place hide tell people going insane tell people going insane every day sit wonder life used feel like going under life hard see tell people going insane tell people going insane im telling people listen sing sound cheerful think im schizo brain tell people going insane tell people going insane ,rock
just a little lovin ,eddy arnold,little lovin go long way make happy rest days put arms around ill slave cause little lovin go long way ever since time began love ruled world eve adam set pace started whirl met know one come back plainly see chorus: believe really know much love come back make dreams come true etes lips loving kisses seem linger yet i forgive please forget chorus: believe really know much love come back make dreams come true etes lips loving kisses seem linger yet i forgive please forget ,country
round midnight,kenny burrell,begins tell round midnight midnight pretty well till sundown suppertime im feelin sad; really gets bad round midnight memories always start round midnight got heart stand memories heart still you ol midnight knows it too quarrel needs mending mean love ending darlin need you lately find heart im mind let hearts take wings round midnight midnight let angels sing returning till love safe sound old midnight comes around feelin sad really gets bad round round round midnight ,jazz
shameless,all time low,hips swaying lips lie like clockwork control right guys im still waiting fitting nights car alarm wears hightops favorite stone showing way walks take me show corners empty room trouble could get fake disregard footsteps well never tell soul tonight im finding way make things say little less obvious walk fine line right real watch closely talk cheap like weightless currency words mean shit im always cashing take me show corners empty room trouble could get fake disregard footsteps well never tell soul tonight im finding way make things say little less obvious confess tonight im dressed gold got fucked talk like famous shameless tonight im finding way make things say little less obvious confess tonight im dressed go got fucked talk like famous shameless tonight im finding way make things say little less obvious confess tonight im dressed go got fucked talk like famous shameless ,rock
american music,violent femmes,like american music like american music like american music baby want hold want arms around want hold me baby many drugs many drugs many drugs too baby born late born soon every time look ugly moon reminds reminds ooh ooh ooh need date prom would like come along nobody would go prom me baby like american music never heard american music know music soul baby born soon born late every time look ugly lake reminds reminds like american music like american music like american music baby like american music like kinds music like american music best baby born late born late every time look ugly lake reminds reminds like american music reminds like american music ,rock
ya nada volvera a ser como antes,el canto del loco,hoy quiero ir encontrar todo lo que hay dentro de mi sacar toda esa sensibilidad que acerque ti que lleve alli pesar de todo pregunto que di al vivir oculto mis defectos para poder dormir ya nada volvera ser como antes nunca dejare que nada cambie estaremos conociendo nuestra parte original ya nunca volvera ser como antes nunca dejare que nada cambie estaremos conociendo nuestra parte de verdad tras una sombra gris que deja ver podre esperar que pase algo hoy con lo que tengo aqui quiere salir pesar de todo pregunto que di al vivir oculto mis defectos para poder dormir ya nada volvera ser como antes nunca dejare que nada cambie estaremos conociendo nuestra parte original ya nunca volvera ser como antes nunca dejare que nada cambie estaremos conociendo nuestra parte de verdad estaremos conociendo nuestra parte original ,pop
lets fall to pieces together,george strait,pardon me left tears jukebox im afraid got mixed mine mean pry noticed goin mind looks like two kind chorus lets fall pieces together fall apart lets fall pieces together right others arms alone much better together worst still yet come lets share rest tears left two hearts came undone go crazy alone chorus ,country
trying to hold on to my woman,lamont dozier,im tryin hold woman life ive got woman satisfies every need got formula guaranteed please know what time ran streets tryin sleep girls feet kind kind destroys thats desire paint town boys stay home tryin tryin ta hold on hold my aah woman life feel like want testify wrong ive done never complained stuck beside sunshine rain gamble love thats something stand lose confidence dare misuse get urge go may know im goin fear come knows life first last future im telling past given never repay hope hope let let said let server rest days always always im tryin hold on hold my home life love call henpecked giving woman proper respect care mind tease long woman pleasing im tryin ta tryin ta tryin ta tryin ta hold my woman life ,rnb
shes always a woman,billy joel,kill smile wound eyes ruin faith casual lies reveals wants see hides like child always woman lead live take leave ask truth shell never believe shell take give long free steals like thief always woman oh takes care wait wants ahead time oh never gives never gives changes mind promise garden eden shell carelessly cut laugh bleedin shell bring best worst blame cause always woman frequently kind suddenly cruel pleases nobodys fool cant convicted earned degree throw shadows always woman ,pop
exclusively,jill scott,hello 13x mmmmmmthis morning man exclusively introduced good extra lovin lickin suckin everything way mornings extra lovin good lay sweaty sex funky happy want lovin exclusively man night morning stomachs growlin hungrily jumped rushed store hopes coming back getting little mornings good extra lovin market people pushing shoving trying next line turn mine new girl counter cute fine kind womens intuition kind insecurity nah cuz man happy home lovin exclusively shook head degwassup+ deghello+ smiled rung orange juice $329 croissants $485 sniffed butter 89 e sniffed strawberries $150 pint sniffed sniffed sniffed sniffed replied degraheemright+ right ,rnb
chains chains ,ufo,jack diamonds gambling man played tables whenever take advice boy stay clean stay way little jeannie dancing queen shaking since sixteen skips across tables acting passion play money chance take gamble got shot romance chains chains pulling chain life turns world around chains chains pulling chain life turns world around without warning jeannie took one night jack got mean boy fight died floor someone else evens score back tables jeannies romance died one look love told lie theres waves crashing seashores repeat chains chainschains chains ,rock
kids in america,cascada,looking dirty old window cars city go rushing by see alone wonder why friday night everyones moving feel heat soothing heading down search beat dirty town downtown young ones going downtown young ones growing were kids america were kids america everybody live music around bright lights music gets faster look boy check watch another glance im leaving honey chance hot shot give problems much later baby be saying nevermind know life cruel life never kind kind hearts make new story kind hearts grab glory were kids america were kids america everybody live music around come closer honey thats better gotta get brand new experience feeling right oh try stop baby hold tight outside new day dawning outside suburbia calling everywhere want go baby new york east california theres new way come ya were kids america were kids america everybody live music around were kids america were kids america everybody live music around ,electronic
sleestak,fu manchu,super cassanovahes road againeyen th esheep honeywont friendsign ahead it readstop start again here comesi see cominright onengines hummingeatin dustand double clutchincement peelin im feelinroad hoggin itfoots itchin im missingotta run againwith head gold im toldrubber leggin it x2 ,rock
smile ,lily allen,first left wanting fucking girl next door cha first left know say never way sat day lost back little help friends found light tunnel end calling phone little whine moan feeling alone first see cry yeah makes smile yeah makes smile worst feel bad while smile go ahead smile whenever see say want back tell mean jack mean jack stop laughing help see messed mental health quite unwell lost back little help friends found light tunnel end calling phone little whine moan feeling alone first see cry yeah makes smile yeah makes smile worst feel bad while smile go ahead smile lalalalalalalalalalalalalalalala lalala first see cry yeah makes smile yeah makes smile worst feel bad while smile go ahead smile lalalalalalalalalalalalalalalalalalalala ,pop
race you,figurines,would race anytime steal daylight eyes somehow never knew things change still would race anytime fool around trick eye dreams still hunt thought fooled around pictures past memories last call need friend ,rock
strange,wire,theres something strange going tonight something going thats quite right joeys nervous lights bright theres something going thats quite right theres something going before keep eyes glues floor noones gonna save life something strange going tonight theres something going before keep eyes glued floor noones gonna save life something strange going tonight theres something going tonight somethings going thats quite right joeys nervous lights bright theres something going thats quite right ,rock
love the way you do so,erasure,on heres break dawn coming window heart pull chair up love on quiver like reed let go go old one honour solo young man careful give away still tomorrow heart felt meaning get feeling recall night love motion shall lie warm inside quite ease watch glide shall lie side side talk turn love way time rolling on blending mind love way tease me heart tear another layer off love listen stillness day drawing ever closer like heart beating hear beating recall night love motion shall lie warm inside quite ease watch glide shall lie side side talk turn love way love hear breath sigh love hear breath sigh wish within arms shall lie warm inside quite ease watch glide shall lie side side talk turn love way shall lie warm inside quite ease watch glide shall lie side side talk turn love way ,pop
caravan,duke ellington,never cared much moonlit skies ,jazz
the blue cafe,chris rea,world miles endless roads leaves trail broken dreams hear say meet blue cafe because one knows meets one care cards fate older shows younger one dares take chance return been going to want know new want go seen know new going to want go meet blue cafe cost great price high take know say goodbye innocence inexperience mean nothing because one knows meets one care been hear say ill meet blue cafe meet blue cafe ,rock
the song is you,frank sinatra,hear music look beautiful theme every dream ever knew deep heart hear play feel start melts away hear music touch hand beautiful melody enchanted land deep heart hear say is day alone heard lovely strain alone heard glad refrain must forever inside me cant let go cant let know cant let know song heart would sing beautiful rhapsody love youth spring music sweet words true song cant let know song heart would sing beautiful rhapsody love youth spring music sweet words true song ,jazz
suffocating under words of sorrow ,bullet for my valentine,night starting go ive taken everything time lose control want me line up well put frustrating watch sleazing around yet keep smiling make see guilty make feel youre wanted make see guilty im suffocating words sorrow skin reflects behind blur im intoxicated from here youre predictable fingers running hair its fiction steps underwear beautiful make see guilty make feel youre wanted make see guilty im suffocating words sorrow go <> go keep starring world let go skin reflects behind blur im intoxicated from here youre predictable fingers running hair im new addiction steps underwear beautiful make see guilty make feel youre wanted make see guilty im suffocating words sorrow words sorrow ,metal
everyones in everyone,patrick park,say life dream cant say mean maybe roadside scene were driving past theres telling well day week theres promises peace happiness well cling every little thing polverize derrange senses maybe life song scared song along ending oh time let go everything used know ideas strengthen weve time cut ties ever free minds chains shackles theyre oh tell good saying free dark storming sea chained history surely sinking fast say know good lords control hes gonna bless keep tired oh restless soul end day every price paid gonna rise sit beside old seat gold tell live like afraid die die like afraid go oh time let go everything used know ideas strengthen weve time cut ties ever free minds chains shackles theyre chains shackles theyre well life dream cause were walking sleep could see us stand lines like were dead upon feet build house cards wait fall always forget strange alive ,folk
gaia,rachelle ferrell,verse 1 scent flowers air perfume subtle everywhere breath sweet warm skin breathe deep take in beauty takes breath away embrace want stay ive got get close whoayeah chorus gaiai adore gaia implore give us one chance verse 2 move live like baby mothers womb gift life give im deeply filled gratitude faith life renewed beauty takes breath away embrace want stay ive got get close whoayeah chorus gaia i adore gaiai implore give us one chance gaia adore yougaia assure ill right earth home tread softly upon respect gratitude ,rnb
future tense,sanctuary, see news watch tv war name god playground killing spree politicians promise world preacher cries ever wanted money bitch side went wrong society twist him see center public eye rock stars smack serial killer fries radicals blame suicide murder art brainwash youth know claim play part shame cant think past tense future tense let history unfold ends decade nineties hold know were verging edge age another century turn page think say look back eighties time spoiled innocence leave legacy like dust sands time lets hope seeds plant carry weight crimes past tense future tense let history unfold were old gray stories told know were verging edge age another century turn page sail ocean sea doubt skeptics make sense cant work things ill choose optimism scream name look future burning flame past tense future tense let history unfold ends decade nineties hold know were verging edge age another century turn page turn page ,rock
everchanging,rise against,face change turned said im sure anymore amidst waves cloudless skies blanket year watch life wash ashore ever part something thought would never end course ever felt weight inside pulling away inside skin something give lines drawn feeling gone best parts come gone reasons clear well spend another year without direction full fear things different theres nothing simple comes always something everchanging life probably always time getting harder come arguments always mind weve killed slowly fading light lines drawn feeling gone best parts come gone reasons clear well spend another year without direction full fear things different something kept long cant leave im already gone something kept long cant leave im already gone something kept long cant leave im already gone make mistakes were always hanging break promises were always leaning time spent waking keep line open get call speak words keep coming back time different something kept long im gone ,rock
trace decay,mourning beloveth,blackest organs lying floor throbbing glistening full deep bitter wants dirty blood trickles gushes torrents flow gutter nobody knows clots hardens weight mouldy truths crawling black throat mangled devastated festers decomposes colourless odourless without nourishment taking hold pain narcotic cutting spleen severing devouring everything pain ploughs frothing heaving sucking air lungs shelter maggots intoxicated rancid distorted sleep worm vomits vats despair twisting shapes thin air damaged cells lying everywhere crawling black throat mangled devastated festers decomposes colourless odourless without nourishment ,metal
rapture or pain,symphony x, tearless stare encased fear like thread heart torn ripped right soul control suits disguise fades red brings blackened sky fall make cold grow old gone whithout trace left chained bound heart thrust dagger life dreams shattered left tyranny rapture pain spill blood take life away rapture pain adversions still remain realized alone theyve took breath life left mind unfold lifeless cold thoughts erased death taste searing face hides scars love gone whithout trace left chained bound heart thrust dagger life dreams shattered left tyranny rapture pain spill blood take life away rapture pain adversions still remain rapture pain spill blood take life away rapture pain adversions still remain ,metal
